,word,pinyin,definition
5330,约定,yuē dìng,"to agree on sth (after discussion)/to conclude a bargain/to arrange/to promise/to stipulate/to make an appointment/stipulated (time, amount, quality etc)/an arrangement/a deal/appointment/undertaking/commitment/understanding/engagement/stipulation"
5331,乐曲,yuè qǔ,musical composition
5332,晕车,yùn chē,to be carsick
5333,允许,yǔn xǔ,to permit/to allow
5335,运作,yùn zuò,to operate/operations/workings/activities (usu. of an organization)/thread (computing)
5337,再生,zài shēng,to be reborn/to regenerate/to be a second so-and-so (famous dead person)/recycling/regeneration
5338,再说,zài shuō,to say again/to put off a discussion until later/moreover/what's more/besides
5339,遭到,zāo dào,to suffer/to meet with (sth unfortunate)
5340,遭受,zāo shòu,"to suffer; to sustain (loss, misfortune)"
5341,早晚,zǎo wǎn,morning and evening/(dialect) some time in the future; some day
5342,遭遇,zāo yù,to meet with/to encounter/(bitter) experience
5343,增进,zēng jìn,to promote/to enhance/to further/to advance (a cause etc)
5344,增值,zēng zhí,to appreciate (financially)/to increase in value/value-added (accountancy)
5345,炸弹,zhà dàn,"bomb/CL:枚[mei2],顆|颗[ke1]"
5346,扎实,zhā shí,variant of 扎實|扎实[zha1 shi5]
5347,炸药,zhà yào,explosive (material)
5351,战场,zhàn chǎng,battlefield/CL:個|个[ge4]
5352,占据,zhàn jù,to occupy/to hold
5353,战略,zhàn lüè,strategy
5354,战术,zhàn shù,tactics
5355,站台,zhàn tái,platform (at a railway station)/(Tw) (of an influential person) to publicly lend one's support (e.g. for an election candidate)/(Tw) website
5356,战友,zhàn yǒu,comrade-in-arms/battle companion
5359,账户,zhàng hù,bank account/online account
5360,掌声,zhǎng shēng,applause/CL:陣|阵[zhen4]
5363,障碍,zhàng ài,barrier/obstruction/hindrance/impediment/obstacle
5365,招聘,zhāo pìn,to invite applications for a job/to recruit
5366,照样,zhào yàng,as before/(same) as usual/in the same manner/still/nevertheless
5367,照耀,zhào yào,to shine/to illuminate
5368,哲学,zhé xué,philosophy/CL:個|个[ge4]
5371,正当,zhèng dāng,honest/reasonable/fair/sensible
5372,整顿,zhěng dùn,to tidy up/to reorganize/to consolidate/to rectify
5373,争夺,zhēng duó,to fight over/to contest/to vie over
5374,政策,zhèng cè,policy/CL:個|个[ge4]
5375,政党,zhèng dǎng,political party/CL:個|个[ge4]
5376,政权,zhèng quán,regime/political power
5377,整治,zhěng zhì,to bring under control/to regulate/to restore to good condition/(coll.) to fix (a person)/to prepare (a meal etc)
5378,症状,zhèng zhuàng,symptom (of an illness)
5381,治病,zhì bìng,to treat an illness
5382,只得,zhǐ de,to have no alternative but to; to be obliged to
5383,至于,zhì yú,as for/as to/to go so far as to
5384,只顾,zhǐ gù,solely preoccupied (with one thing)/engrossed/focusing (on sth)/to look after only one aspect
5385,只管,zhǐ guǎn,"solely engrossed in one thing/just (one thing, no need to worry about the rest)/simply/by all means/please feel free/do not hesitate (to ask for sth)"
5386,知名,zhī míng,well-known; famous
5389,指数,zhǐ shù,"(numerical, statistical) index/(math.) exponent/index/exponential (function, growth)"
5390,指头,zhǐ tou,finger/toe/CL:個|个[ge4]
5391,职责,zhí zé,duty/responsibility/obligation
5392,智慧,zhì huì,wisdom/knowledge/intelligent/intelligence
5393,支撑,zhī chēng,to prop up/to support/strut/brace
5394,支援,zhī yuán,to provide assistance/to support/to back
5395,指定,zhǐ dìng,to appoint/to assign/to indicate clearly and with certainty/designated
5396,指着,zhǐ zhe,pointing to
5397,之类,zhī lèi,and so on/and such
5399,中等,zhōng děng,medium
5400,中华,zhōng huá,China (alternate formal name)
5401,钟头,zhōng tóu,hour/CL:個|个[ge4]
5402,忠心,zhōng xīn,good faith/devotion/loyalty/dedication
5403,种种,zhǒng zhǒng,all kinds of
5404,中期,zhōng qī,"middle (of a period of time)/medium-term (plan, forecast etc)"
5405,中外,zhōng wài,Sino-foreign/Chinese-foreign/home and abroad
5409,珠宝,zhū bǎo,pearls/jewels/precious stones
5410,主角,zhǔ jué,leading role; lead/protagonist
5411,诸位,zhū wèi,(pron) everyone/Ladies and Gentlemen/Sirs
5412,住宅,zhù zhái,residence; dwelling; abode
5413,祝愿,zhù yuàn,to wish
5415,主流,zhǔ liú,main stream (of a river)/fig. the essential point/main viewpoint of a matter/mainstream (culture etc)
5416,柱子,zhù zi,pillar/CL:根[gen1]
5417,转动,zhuàn dòng,to rotate (about an axis)/to revolve/to turn/to move in a circle/to gyrate
5418,专用,zhuān yòng,special/dedicated
5421,赚钱,zhuàn qián,to earn money/moneymaking
5422,装备,zhuāng bèi,equipment/to equip/to outfit
5423,壮观,zhuàng guān,spectacular/magnificent sight
5424,追究,zhuī jiū,to investigate/to look into
5427,自我,zì wǒ,self-/ego (psychology)
5428,自学,zì xué,self-study/to study on one's own
5429,咨询,zī xún,to consult/to seek advice/consultation/(sales) inquiry (formal)
5431,自在,zì zài,comfortable; at ease
5432,总部,zǒng bù,general headquarters
5433,总监,zǒng jiān,head/director (of an organizational unit)/(police) commissioner/inspector-general/rank of local governor in Tang dynasty administration
5434,宗教,zōng jiào,religion
5436,总量,zǒng liàng,total/overall amount
5438,走私,zǒu sī,to smuggle/to have an illicit affair
5439,祖父,zǔ fù,father's father/paternal grandfather
5440,祖国,zǔ guó,motherland
5441,祖母,zǔ mǔ,father's mother/paternal grandmother
5443,租金,zū jīn,rent
5444,足以,zú yǐ,sufficient to.../so much so that/so that
5449,最佳,zuì jiā,"optimum/optimal/peak/best (athlete, movie etc)"
5450,最终,zuì zhōng,final; ultimate
5451,罪恶,zuì è,crime/evil/sin
5454,作废,zuò fèi,to become invalid/to cancel/to delete/to nullify
5455,作战,zuò zhàn,combat/to fight
5458,哎呀,āi yā,"interjection of wonder, shock or admiration"
5460,癌症,ái zhèng,cancer
5461,安定,ān dìng,stable; calm; settled/to stabilize/Valium; diazepam
5462,案件,àn jiàn,"case/instance/CL:宗[zong1],樁|桩[zhuang1],起[qi3]"
5464,安宁,ān níng,peaceful/tranquil/calm/composed/free from worry
5465,暗杀,àn shā,to assassinate
5466,安心,ān xīn,at ease/to feel relieved/to set one's mind at rest/to keep one's mind on sth
5467,暗中,àn zhōng,in the dark/in secret/on the sly/surreptitiously
5470,傲慢,ào màn,arrogant/haughty
5471,八卦,bā guà,the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1]/gossip/gossipy
5472,罢休,bà xiū,to give up/to abandon (a goal etc)/to let sth go/forget it/let the matter drop
5473,芭蕾,bā lěi,ballet (loanword)
5474,把手,bǎ shǒu,handle/grip/knob
5475,拜托,bài tuō,to request sb to do sth/please!
5476,白白,bái bái,in vain/to no purpose/for nothing/white
5477,百合,bǎi hé,lily
5478,摆平,bǎi píng,to be fair/to be impartial/to settle (a matter etc)
5480,颁奖,bān jiǎng,to confer an award
5482,伴侣,bàn lǚ,companion/mate/partner
5483,伴随,bàn suí,to accompany/to follow/to occur together with/concomitant
5485,绑架,bǎng jià,to kidnap/to abduct/to hijack/a kidnapping/abduction/staking
5487,棒球,bàng qiú,"baseball/CL:個|个[ge4],隻|只[zhi1]"
5488,帮手,bāng shǒu,helper; assistant
5489,榜样,bǎng yàng,example/model/CL:個|个[ge4]
5491,报酬,bào chóu,reward/remuneration
5492,报仇,bào chóu,to take revenge/to avenge
5493,报复,bào fù,to make reprisals; to retaliate/revenge; retaliation
5494,保管,bǎo guǎn,to hold in safekeeping/to have in one's care/to guarantee/certainly/surely/custodian/curator
5495,曝光,bào guāng,to expose (photography)/(fig.) to expose (a scandal)/(advertising) exposure/Taiwan pr. [pu4 guang1]
5496,保姆,bǎo mǔ,nanny/housekeeper
5497,报社,bào shè,newspaper (i.e. a company)/CL:家[jia1]
5498,保佑,bǎo yòu,to bless and protect/blessing
5499,宝藏,bǎo zàng,precious mineral deposits/hidden treasure/(fig.) treasure/(Buddhism) the treasure of Buddha's law
5500,保障,bǎo zhàng,to ensure/to guarantee/to safeguard
5501,保重,bǎo zhòng,to take care of oneself
5502,悲哀,bēi āi,grieved/sorrowful
5503,卑鄙,bēi bǐ,base/mean/contemptible/despicable
5504,被捕,bèi bǔ,to be arrested/under arrest
5505,背面,bèi miàn,the back/the reverse side/the wrong side
5506,背叛,bèi pàn,to betray
5507,悲痛,bēi tòng,grieved/sorrowful
5508,备用,bèi yòng,reserve/spare/alternate/backup
5510,本性,běn xìng,natural instincts/nature/inherent quality
5511,本意,běn yì,original idea/real intention/etymon
5512,笨蛋,bèn dàn,fool/idiot
5513,本能,běn néng,instinct
5515,崩溃,bēng kuì,to collapse; to crumble; to fall apart
5518,边界,biān jiè,boundary/border
5519,编号,biān hào,to number/numbering/serial number
5520,辩护,biàn hù,to speak in defense of/to argue in favor of/to defend/to plead
5521,辩解,biàn jiě,to explain/to justify/to defend (a point of view etc)/to provide an explanation/to try to defend oneself
5522,编剧,biān jù,to write a play/scenario/dramatist/screenwriter
5523,编排,biān pái,to arrange/to lay out
5524,变异,biàn yì,variation
5525,编造,biān zào,to compile/to draw up/to fabricate/to invent/to concoct/to make up/to cook up
5527,标签,biāo qiān,label/tag/(computing) tab (GUI element)
5529,别扭,biè niǔ,awkward/difficult/uncomfortable/not agreeing/at loggerheads/gauche
5530,别墅,bié shù,"villa/CL:幢[zhuang4],座[zuo4]"
5531,并非,bìng fēi,really isn't
5534,搏斗,bó dòu,to wrestle; to fight; to struggle
5535,剥夺,bō duó,to deprive/to expropriate/to strip (sb of his property)
5536,脖子,bó zi,neck/CL:個|个[ge4]
5537,不知,bù zhī,"not to know/unaware/unknowingly/fig. not to admit (defeat, hardships, tiredness etc)"
5538,补给,bǔ jǐ,supply/replenishment/to replenish
5539,补救,bǔ jiù,to remedy
5542,部署,bù shǔ,to dispose/to deploy/deployment
5543,不惜,bù xī,not stint/not spare/not hesitate (to do sth)/not scruple (to do sth)
5544,不已,bù yǐ,(used after a verb) endlessly; incessantly
5545,不准,bù zhǔn,not to allow/to forbid/to prohibit
5546,捕捉,bǔ zhuō,to catch; to seize; to capture
5548,彩虹,cǎi hóng,rainbow/CL:道[dao4]
5549,才华,cái huá,talent/CL:份[fen4]
5550,采集,cǎi jí,to gather/to collect/to harvest
5551,裁决,cái jué,ruling/adjudication
5552,财务,cái wù,financial affairs
5553,猜想,cāi xiǎng,to guess; to conjecture; to suppose/(math.) hypothesis
5554,财政,cái zhèng,finances (public)/financial
5556,参军,cān jūn,to join the army
5557,残留,cán liú,to remain; to be left over/residual; remnant/residue
5558,残忍,cán rěn,cruel/mean/merciless/ruthless
5559,餐桌,cān zhuō,dining table; dinner table/CL:張|张[zhang1]
5561,藏匿,cáng nì,to cover up/to conceal/to go into hiding
5562,藏身,cáng shēn,to hide/to go into hiding/to take refuge
5563,苍蝇,cāng yíng,housefly/CL:隻|只[zhi1]
5564,操心,cāo xīn,to worry about
5565,草坪,cǎo píng,lawn
5566,侧面,cè miàn,lateral side/side/aspect/profile
5567,测验,cè yàn,"test/to test/CL:次[ci4],個|个[ge4]"
5568,差错,chā cuò,mistake; slip-up; fault; error/accident; mishap
5569,察觉,chá jué,to sense/to perceive/to become aware of/to detect
5570,查明,chá míng,to investigate and find out/to ascertain
5571,插手,chā shǒu,to get involved in/to meddle/interference
5572,查找,chá zhǎo,to search for/to look up
5575,敞开,chǎng kāi,to open wide/unrestrictedly
5576,偿还,cháng huán,to repay/to reimburse
5577,超速,chāo sù,to exceed the speed limit/to speed/high-speed
5578,钞票,chāo piào,"paper money/a bill (e.g. 100 yuan)/CL:張|张[zhang1],紮|扎[za1]"
5579,嘲笑,cháo xiào,to jeer at/to deride/to ridicule/mockery/derision
5580,朝着,cháo zhe,towards
5583,车道,chē dào,traffic lane/driveway
5584,车祸,chē huò,traffic accident/car crash/CL:場|场[chang2]
5585,沉迷,chén mí,to be engrossed/to be absorbed with/to lose oneself in/to be addicted to
5586,陈述,chén shù,an assertion/to declare/to state
5588,惩罚,chéng fá,penalty/punishment/to punish
5589,称呼,chēng hū,to call; to address as/form of address; appellation
5590,呈现,chéng xiàn,to appear/to emerge/to present (a certain appearance)/to demonstrate
5591,成年,chéng nián,to grow to adulthood/fully grown; adult/the whole year
5592,成年,chéng nián,to grow to adulthood/fully grown; adult/the whole year
5594,成天,chéng tiān,(coll.) all day long/all the time
5595,称作,chēng zuò,to be called; to be known as
5597,翅膀,chì bǎng,"wing/CL:個|个[ge4],對|对[dui4]"
5598,耻辱,chǐ rǔ,disgrace/shame/humiliation
5599,迟早,chí zǎo,sooner or later
5601,重返,chóng fǎn,to return to
5602,冲浪,chōng làng,to surf/surfing
5603,重现,chóng xiàn,to reappear
5605,仇恨,chóu hèn,to hate/hatred/enmity/hostility
5606,丑陋,chǒu lòu,ugly
5607,筹码,chóu mǎ,bargaining chip; gaming chip; casino token
5609,抽屉,chōu tì,drawer
5610,丑闻,chǒu wén,scandal
5611,初次,chū cì,"for the first time/first (meeting, attempt etc)"
5612,触动,chù dòng,to touch/to stir up (trouble or emotions)/to move (sb's emotions or worry)
5613,处方,chǔ fāng,medical prescription/to write out a prescription/(fig.) recommendation/advice
5614,处境,chǔ jìng,situation (of a person)
5615,出局,chū jú,(of a batter) to be put out (in baseball); to be dismissed (in cricket)/(of a player or team) to be eliminated from a competition/(fig.) to be weeded out; to get the chop (in a competitive environment)
5616,出卖,chū mài,to offer for sale; to sell/to sell out; to betray
5617,触摸,chù mō,to touch
5618,出身,chū shēn,to be born of/to come from/family background/class origin
5619,出示,chū shì,to show/to take out and show to others/to display
5620,出手,chū shǒu,to dispose of/to spend (money)/to undertake a task
5621,出头,chū tóu,to get out of a predicament/to stick out/to take the initiative/remaining odd fraction after a division/a little more than
5622,出血,chū xuè,to bleed; bleeding/(fig.) to spend money in large amounts
5623,处置,chǔ zhì,to handle/to take care of/to punish
5624,出众,chū zhòng,to stand out/outstanding
5626,除去,chú qù,to eliminate/to remove/except for/apart from
5627,出自,chū zì,to come from
5628,出走,chū zǒu,to leave home/to go off/to run away
5630,穿过,chuān guò,to pass through
5631,穿越,chuān yuè,to pass through/to traverse/to cross
5632,传奇,chuán qí,legendary/fantasy saga/romance/short stories of the Tang and Song Dynasty
5633,传染,chuán rǎn,to infect/contagious
5634,传闻,chuán wén,rumor
5635,穿着,chuān zhe,attire; clothes; dress
5638,创伤,chuāng shāng,wound; injury; trauma
5640,吹牛,chuī niú,to talk big/to shoot off one's mouth/to chat (dialect)
5641,锤子,chuí zi,hammer/CL:把[ba3]
5643,纯粹,chún cuì,pure/unadulterated/purely/completely
5644,纯洁,chún jié,pure/clean and honest/to purify
5648,磁带,cí dài,"magnetic tape/CL:盤|盘[pan2],盒[he2]"
5649,慈善,cí shàn,benevolent/charitable
5651,丛林,cóng lín,jungle/thicket/forest/Buddhist monastery
5652,从头,cóng tóu,anew/from the start
5653,从未,cóng wèi,never
5655,粗暴,cū bào,crude; crass; rude; rough; harsh
5656,粗鲁,cū lǔ,coarse/crude (in one's manner)/boorish
5658,催眠,cuī mián,hypnosis
5659,脆弱,cuì ruò,weak/frail
5660,摧毁,cuī huǐ,to destroy; to wreck
5662,打倒,dǎ dǎo,to overthrow/to knock down/Down with ... !
5663,大地,dà dì,earth/mother earth
5665,打搅,dǎ jiǎo,to disturb; to trouble; to bother
5668,打猎,dǎ liè,to go hunting
5669,大厦,dà shà,(used in the names of grand buildings such as 百老匯大廈|百老汇大厦 Broadway Mansions (in Shanghai) or 帝國大廈|帝国大厦 Empire State Building etc)
5670,打仗,dǎ zhàng,to fight a battle/to go to war
5672,逮捕,dài bǔ,to arrest/to apprehend/an arrest
5675,代号,dài hào,code name
5678,单身,dān shēn,unmarried/single
5679,但愿,dàn yuàn,if only (sth were possible)/I wish (that)
5680,耽误,dān wù,to delay/to hold up/to waste time/to interfere with
5681,胆子,dǎn zi,courage/nerve/guts
5682,当面,dāng miàn,to sb's face/in sb's presence
5684,当晚,dàng wǎn,the same evening
5685,当心,dāng xīn,to take care/to look out
5686,当真,dàng zhēn,"to take seriously/serious/No joking, really!"
5688,导弹,dǎo dàn,(guided) missile/CL:枚[mei2]
5689,道具,dào jù,(theater) prop/paraphernalia/(gaming) item; artifact
5690,导航,dǎo háng,navigation
5691,捣乱,dǎo luàn,to disturb/to look for trouble/to stir up a row/to bother sb intentionally
5692,倒霉,dǎo méi,to have bad luck/to be out of luck
5693,盗窃,dào qiè,to steal
5694,导师,dǎo shī,tutor/teacher/academic advisor
5695,倒数,dào shǔ,inverse number/reciprocal (math.)
5696,到位,dào wèi,to get to the intended location/to be in place/to be in position/precise/well (done)
5697,倒下,dǎo xià,to collapse/to topple over
5699,得知,dé zhī,to find out/to learn of
5700,得罪,dé zuì,to offend sb/to make a faux pas/a faux pas/see also 得罪[de2 zui4]
5701,登机,dēng jī,to board a plane
5702,登陆,dēng lù,to land/to come ashore/to make landfall (of typhoon etc)/to log in (frequently used erroneous variant of 登錄|登录[deng1 lu4])
5703,灯泡,dēng pào,light bulb/see also 電燈泡|电灯泡[dian4 deng1 pao4]/third-wheel or unwanted third party spoiling a couple's date (slang)/CL:個|个[ge4]
5704,地步,dì bù,stage/degree (to which a situation has evolved)/situation/leeway
5705,地道,dì dào,authentic/genuine/proper
5706,地道,dì dào,authentic/genuine/proper
5707,低调,dī diào,low pitch/quiet (voice)/subdued/low-key/low-profile
5708,低估,dī gū,to underestimate; to underrate
5709,帝国,dì guó,empire/imperial
5710,地理,dì lǐ,geography
5711,地毯,dì tǎn,carpet/rug
5712,底线,dǐ xiàn,bottom line; the limit of what one is prepared to accept/(sports) baseline/(sewing) under thread/spy; informer; plant
5713,地狱,dì yù,hell/infernal/underworld/(Buddhism) Naraka
5714,抵押,dǐ yā,to provide (an asset) as security for a loan/to put up collateral
5716,电报,diàn bào,"telegram/cable/telegraph/CL:封[feng1],份[fen4]"
5717,垫底,diàn dǐ,to put sth on the bottom/to eat sth to tide oneself over until mealtime/to lay the foundation/to come last in the rankings
5718,点火,diǎn huǒ,to ignite/to light a fire/to agitate/to start an engine/ignition/fig. to stir up trouble
5719,电线,diàn xiàn,wire/power cord/CL:根[gen1]
5720,点心,diǎn xīn,light refreshments/pastry/dim sum (in Cantonese cooking)/dessert
5721,垫子,diàn zi,cushion; mat; pad
5722,点子,diǎn zi,spot/point/dot/speck/drop (of liquid)/droplet/point (of argument)/idea/crux/indication/pointer
5723,掉头,diào tóu,to turn one's head/to turn round/to turn about
5724,钓鱼,diào yú,to fish (with line and hook)/to dupe
5728,订婚,dìng hūn,to get engaged
5729,顶级,dǐng jí,top-notch; first-rate
5730,顶尖,dǐng jiān,peak/apex/world best/number one/finest (competitors)/top (figures in a certain field)
5731,定义,dìng yì,definition/to define
5733,钉子,dīng zi,nail/snag/saboteur
5734,丢掉,diū diào,to lose/to throw away/to discard/to cast away
5735,丢脸,diū liǎn,to lose face/humiliation
5736,丢弃,diū qì,to discard/to abandon
5737,丢人,diū rén,to lose face
5738,丢失,diū shī,to lose; to misplace
5740,冻结,dòng jié,"to freeze (water etc)/(fig.) to freeze (assets, prices etc)"
5741,动静,dòng jìng,(detectable) movement/(sign of) activity/movement and stillness
5742,动脉,dòng mài,artery
5743,动身,dòng shēn,to go on a journey/to leave
5745,动用,dòng yòng,to utilize/to put sth to use
5748,都会,dōu huì,city/metropolis
5750,豆子,dòu zi,bean/pea/CL:顆|颗[ke1]
5753,渡过,dù guò,to cross over/to pass through
5754,独家,dú jiā,exclusive
5755,度假,dù jià,to go on holidays/to spend one's vacation
5757,短暂,duǎn zàn,of short duration; brief; momentary
5758,对准,duì zhǔn,to aim at/to target/to point at/to be directed at/registration/alignment (mechanical engineering)
5759,躲避,duǒ bì,to hide/to evade/to dodge/to take shelter/to avoid (difficulties)
5760,躲藏,duǒ cáng,to conceal oneself/to go into hiding/to take cover
5761,堕落,duò luò,to degrade/to degenerate/to become depraved/corrupt/a fall from grace
5762,多亏,duō kuī,thanks to/luckily
5763,多余,duō yú,superfluous/unnecessary/surplus
5765,恶化,è huà,to worsen
5766,额外,é wài,extra/added/additional
5767,恶意,è yì,malice/evil intention
5768,鳄鱼,è yú,alligator; crocodile (CL:條|条[tiao2])
5769,恩怨,ēn yuàn,gratitude and grudges/resentment/grudges/grievances
5770,而已,ér yǐ,that's all/nothing more
5771,耳光,ěr guāng,a slap on the face/CL:記|记[ji4]
5773,发财,fā cái,to get rich
5775,发抖,fā dǒu,to tremble/to shake/to shiver
5776,发光,fā guāng,to emit light; to shine; to glow; to glisten; to be luminous
5777,发火,fā huǒ,to catch fire/to ignite/to detonate/to get angry
5778,发掘,fā jué,to excavate/to explore/(fig.) to unearth/to tap into
5780,发誓,fā shì,to vow/to pledge/to swear
5781,发泄,fā xiè,to give vent to (one's feelings)
5782,发型,fà xíng,hairstyle; coiffure; hairdo
5783,发育,fā yù,to develop/to mature/growth/development/(sexually) mature
5784,发作,fā zuò,to flare up; to break out
5786,反常,fǎn cháng,unusual/abnormal
5787,反感,fǎn gǎn,to be disgusted with/to dislike/bad reaction/antipathy
5788,反击,fǎn jī,to strike back/to beat back/to counterattack
5789,烦恼,fán nǎo,to be worried/to be distressed/worries
5790,饭碗,fàn wǎn,rice bowl/fig. livelihood/job/way of making a living
5792,妨碍,fáng ài,to hinder/to obstruct
5794,放过,fàng guò,to let off/to let slip by/to let sb get away with sth
5795,防护,fáng hù,to defend/to protect
5796,访谈,fǎng tán,to visit and discuss/to interview
5797,防卫,fáng wèi,to defend/defensive/defense
5798,防御,fáng yù,defense/to defend
5799,放纵,fàng zòng,to indulge/to pamper/to connive at/permissive/indulgent/self-indulgent/unrestrained/undisciplined/uncultured/boorish
5801,肥胖,féi pàng,fat; obese
5802,肥皂,féi zào,"soap/CL:塊|块[kuai4],條|条[tiao2]"
5803,非得,fēi děi,"(followed by a verb phrase, then – optionally – 不可, or 不行 etc) must"
5805,非法,fēi fǎ,illegal
5806,非凡,fēi fán,"out of the ordinary/unusually (good, talented etc)"
5807,废话,fèi huà,nonsense/rubbish/superfluous words/You don't say!/No kidding! (gently sarcastic)
5808,费劲,fèi jìn,to require effort/strenuous
5809,飞往,fēi wǎng,fly to
5810,废物,fèi wù,rubbish; waste material/useless person
5812,坟墓,fén mù,grave/tomb
5813,吩咐,fēn fù,to tell/to instruct/to command
5814,分歧,fēn qí,"divergent/difference (of opinion, position); disagreement/(math.) bifurcation"
5815,粉丝,fěn sī,bean vermicelli/mung bean starch noodles/Chinese vermicelli/cellophane noodles/CL:把[ba3]/fan (loanword)/enthusiast for sb or sth
5816,粉碎,fěn suì,to crush; to smash; to shatter
5817,封面,fēng miàn,cover (of a publication)
5818,封锁,fēng suǒ,to blockade/to seal off/to lock down
5819,讽刺,fěng cì,to satirize/to mock/irony/satire/sarcasm
5822,缝合,féng hé,to sew together/suture (in surgery)/to sew up (a wound)
5823,凤凰,fèng huáng,phoenix
5824,风流,fēng liú,distinguished and accomplished/outstanding/talented in letters and unconventional in lifestyle/romantic/dissolute/loose
5825,丰满,fēng mǎn,ample/well developed/fully rounded
5826,蜂蜜,fēng mì,honey
5827,风趣,fēng qù,charm/humor/wit/humorous/witty
5828,风尚,fēng shàng,current custom/current way of doing things
5829,疯子,fēng zi,madman/lunatic
5830,否决,fǒu jué,to veto/to overrule
5831,腐败,fǔ bài,corruption/to corrupt/to rot/rotten
5833,辅导,fǔ dǎo,to give guidance/to mentor/to counsel/to coach/to tutor
5834,付费,fù fèi,to pay/to cover the costs
5835,复合,fù hé,complex/compound/composite/hybrid/to compound/to combine
5836,复活,fù huó,to revive/(lit. and fig.) to come back to life/(religion) resurrection
5837,付款,fù kuǎn,to pay a sum of money/payment
5838,腐烂,fǔ làn,to rot/to putrefy/(fig.) corrupt
5839,负面,fù miàn,negative/the negative side
5840,抚摸,fǔ mō,to gently caress and stroke/to pet/to fondle
5841,辐射,fú shè,radiation
5842,服饰,fú shì,apparel/clothing and personal adornment
5843,富翁,fù wēng,rich person/millionaire/billionaire
5845,抚养,fǔ yǎng,to foster/to bring up/to raise
5846,服用,fú yòng,to take (medicine)
5847,赋予,fù yǔ,to assign/to entrust (a task)/to give/to bestow
5848,复原,fù yuán,to restore (sth) to (its) former condition/to recover from illness/recovery
5851,改编,gǎi biān,to adapt/to rearrange/to revise
5852,尴尬,gān gà,awkward; embarrassed
5854,感恩,gǎn ēn,to be grateful
5855,感激,gǎn jī,to be grateful/to appreciate/thankful
5856,感染,gǎn rǎn,to infect; infection/(fig.) to influence
5857,感性,gǎn xìng,perception/perceptual/sensibility/sensitive/emotional/sentimental
5858,肝脏,gān zàng,liver
5862,高贵,gāo guì,grandeur/noble
5863,高明,gāo míng,brilliant; superior; wise
5865,告知,gào zhī,to inform
5867,胳膊,gē bó,"arm/CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]"
5868,革命,gé mìng,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)/revolution/revolutionary/to revolt (against sb or sth)/to revolutionize (sth)/(separable verb sometimes used in the pattern 革noun的命)/CL:次[ci4]
5869,歌剧,gē jù,"Western opera/CL:場|场[chang3],齣|出[chu1]"
5871,隔离,gé lí,to separate/to isolate
5872,歌舞,gē wǔ,singing and dancing
5873,鸽子,gē zi,pigeon/dove/various birds of the family Columbidae
5874,跟踪,gēn zōng,to follow sb's tracks/to tail/to shadow/tracking
5875,更改,gēng gǎi,to alter
5879,公车,gōng chē,"bus/abbr. for 公共汽車|公共汽车[gong1 gong4 qi4 che1]/car belonging to an organization and used by its members (government car, police car, company car etc)/abbr. for 公務用車|公务用车[gong1 wu4 yong4 che1]"
5880,公道,gōng dào,fair/equitable
5881,工地,gōng dì,construction site
5883,公关,gōng guān,public relations
5884,工会,gōng huì,labor union/trade union/CL:個|个[ge4]
5885,功劳,gōng láo,contribution/meritorious service/credit
5886,公立,gōng lì,"public (e.g. school, hospital)"
5887,共识,gòng shí,common understanding/consensus
5888,公事,gōng shì,work-related matters/documents
5889,恭维,gōng wéi,to praise/to speak highly of/compliment/praise
5890,公务,gōng wù,official business
5891,恭喜,gōng xǐ,to congratulate/(interj.) congratulations!
5892,公寓,gōng yù,apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4])
5896,孤单,gū dān,lone/lonely/loneliness
5897,股份,gǔ fèn,a share (in a company)/stock
5898,辜负,gū fù,to fail to live up (to expectations)/unworthy (of trust)/to let down/to betray (hopes)/to disappoint
5899,古董,gǔ dǒng,curio/antique
5900,古怪,gǔ guài,strange/weird/eccentric/bizarre
5902,雇主,gù zhǔ,employer
5903,鼓舞,gǔ wǔ,heartening (news)/to boost (morale)/CL:個|个[ge4]
5904,雇佣,gù yōng,to employ/to hire
5905,雇员,gù yuán,employee
5906,骨折,gǔ zhé,to suffer a fracture/(of a bone) to break/fracture
5907,固执,gù zhí,obstinate/stubborn/to fixate on/to cling to
5908,寡妇,guǎ fù,widow
5911,怪物,guài wù,monster/freak/eccentric person
5912,怪异,guài yì,monstrous/strange/strange phenomenon
5915,关掉,guān diào,to switch off; to shut off
5916,棺材,guān cái,"coffin/CL:具[ju4],口[kou3]"
5918,管家,guǎn jiā,(old) butler; steward/manager; administrator; housekeeper/to manage a household
5919,关节,guān jié,joint (physiology)/key point/critical phase
5920,惯例,guàn lì,convention/usual practice
5921,罐头,guàn tou,tin/can/CL:個|个[ge4]
5922,管用,guǎn yòng,efficacious/useful
5923,官员,guān yuán,official (in an organization or government)/administrator
5924,关照,guān zhào,to take care/to keep an eye on/to look after/to tell/to remind
5925,管子,guǎn zi,tube/pipe/drinking straw/CL:根[gen1]
5926,光彩,guāng cǎi,luster/splendor/radiance/brilliance
5927,光芒,guāng máng,rays of light/brilliant rays/radiance
5928,贵宾,guì bīn,honored guest/distinguished guest/VIP
5929,归还,guī huán,to return sth/to revert
